#Ra-226		A [1/s]	9.85E+04		t [s]	4200		tau	0.913
#E Gamma	I_abs	ΔI_abs	Counts FEP	ΔCounts FEP	eff FEP	Δeff FEP	E SEP	Counts SEP	ΔCounts SEP	eff SEP	Δeff SEP	E DEP	Counts DEP	ΔCounts DEP	eff DEP	Δeff DEP
186	3.53%	0.03%	32209	312	0.2415%	0.0031%	n.v.					n.v.
242	7.20%	0.06%	73376	351	0.2698%	0.0026%	n.v.					n.v.
295	18.30%	0.10%	188322	484	0.2724%	0.0016%	n.v.					n.v.
352	35.30%	0.30%	347382	625	0.2605%	0.0023%	n.v.					n.v.
609	45.20%	0.30%	339046	600	0.1986%	0.0014%	n.v.					n.v.
665	1.52%	0.01%	10874	154	0.1894%	0.0030%	n.v.					n.v.
768	4.85%	0.04%	32921	217	0.1797%	0.0019%	n.v.					n.v.
806	1.26%	0.01%	8060	143	0.1693%	0.0033%	n.v.					n.v.
934	3.07%	0.03%	18053	177	0.1557%	0.0022%	n.v.					n.v.
1120	14.80%	0.10%	80764	304	0.1444%	0.0011%	609					98
1155	1.62%	0.01%	8717	133	0.1424%	0.0023%	644					133
1238	5.78%	0.04%	29342	194	0.1344%	0.0013%	727					216
1281	1.43%	0.01%	7087	122	0.1312%	0.0024%	770					259
1378	3.95%	0.03%	18801	154	0.1260%	0.0014%	867					356
1402	1.32%	0.01%	6011	98	0.1205%	0.0022%	891					380
1408	2.37%	0.02%	10691	122	0.1194%	0.0017%	897					386
1509	2.11%	0.02%	9640	135	0.1209%	0.0020%	998					487
1661	1.04%	0.01%	4395	92	0.1119%	0.0026%	1150					639
1730	2.82%	0.02%	11648	121	0.1093%	0.0014%	1219					708
1765	15.20%	0.10%	62162	256	0.1083%	0.0008%	1254	1792	88	0.0031%	0.0002%	743	1263	111	0.0022%	0.0002%
1847	2.00%	0.02%	7956	96	0.1053%	0.0017%	1336					825
2119	1.15%	0.01%	4135	68	0.0952%	0.0018%	1608					1097
2204	4.90%	0.10%	16579	133	0.0896%	0.0020%	1693	1332	60	0.0072%	0.0004%	1182	594	79	0.0032%	0.0004%
2448	1.54%	0.01%	4839	71	0.0832%	0.0013%	1937	662	54	0.0114%	0.0009%	1426	342	58	0.0059%	0.0010%
