#Ra-226		A [1/s]	9.85E+04		t [s]	4200		tau	0.913
#E Gamma	I_abs	ΔI_abs	Counts FEP	ΔCounts FEP	eff FEP	Δeff FEP	E SEP	Counts SEP	ΔCounts SEP	eff SEP	Δeff SEP	E DEP	Counts DEP	ΔCounts DEP	eff DEP	Δeff DEP
186	3.53%	0.03%	31705	246	0.2377%	0.0027%	n.v.					n.v.
242	7.20%	0.06%	73400	314	0.2699%	0.0025%	n.v.					n.v.
295	18.30%	0.10%	187836	456	0.2717%	0.0016%	n.v.					n.v.
352	35.30%	0.30%	346445	605	0.2598%	0.0023%	n.v.					n.v.
609	45.20%	0.30%	330779	584	0.1937%	0.0013%	n.v.					n.v.
665	1.52%	0.01%	10376	122	0.1807%	0.0024%	n.v.					n.v.
768	4.85%	0.04%	32150	191	0.1755%	0.0018%	n.v.					n.v.
806	1.26%	0.01%	7797	107	0.1638%	0.0026%	n.v.					n.v.
934	3.07%	0.03%	17712	149	0.1527%	0.0020%	n.v.					n.v.
1120	14.80%	0.10%	79147	289	0.1416%	0.0011%	609					98
1155	1.62%	0.01%	8644	107	0.1412%	0.0020%	644					133
1238	5.78%	0.04%	28892	178	0.1323%	0.0012%	727					216
1281	1.43%	0.01%	7095	99	0.1313%	0.0020%	770					259
1378	3.95%	0.03%	18883	142	0.1265%	0.0014%	867					356
1402	1.32%	0.01%	6145	85	0.1232%	0.0019%	891					380
1408	2.37%	0.02%	10732	109	0.1199%	0.0016%	897					386
1509	2.11%	0.02%	9411	107	0.1181%	0.0017%	998					487
1661	1.04%	0.01%	4352	79	0.1108%	0.0023%	1150					639
1730	2.82%	0.02%	11619	115	0.1091%	0.0013%	1219					708
1765	15.20%	0.10%	61936	252	0.1079%	0.0008%	1254	413	57	0.0007%	0.0001%	743
1847	2.00%	0.02%	7974	91	0.1055%	0.0016%	1336					825
2119	1.15%	0.01%	4122	66	0.0949%	0.0017%	1608					1097
2204	4.90%	0.10%	16480	131	0.0890%	0.0019%	1693	287	57	0.0016%	0.0003%	1182
2448	1.54%	0.01%	4789	70	0.0823%	0.0013%	1937	203	22	0.0035%	0.0004%	1426
