#Co-56		A [1/s]	2.79E+04		t [s]	9600		tau	0.957
#E Gamma	I_abs	ΔI_abs	Counts FEP	ΔCounts FEP	eff FEP	Δeff FEP	E SEP	Counts SEP	ΔCounts SEP	eff SEP	Δeff SEP	E DEP	Counts DEP	ΔCounts DEP	eff DEP	Δeff DEP
847	99.94%	0.00%	402811	640	0.1573%	0.0002%	n.v.					n.v.
977	1.42%	0.01%	5245	100	0.1442%	0.0028%	n.v.					n.v.
1038	14.00%	0.05%	50376	238	0.1404%	0.0008%	527					16
1175	2.25%	0.01%	7646	110	0.1326%	0.0020%	664					153
1238	66.40%	0.20%	217229	472	0.1277%	0.0005%	727	746	96	0.0004%	0.0001%	216
1360	4.28%	0.01%	13400	124	0.1222%	0.0012%	849					338
1771	15.45%	0.04%	40350	203	0.1019%	0.0006%	1260	195	37	0.0005%	0.0001%	749
2015	3.02%	0.01%	7438	93	0.0961%	0.0012%	1504					993
2035	7.74%	0.01%	18567	140	0.0936%	0.0007%	1524	155	34	0.0008%	0.0002%	1013
2598	16.96%	0.04%	34135	188	0.0786%	0.0005%	2087	1235	42	0.0028%	0.0001%	1576
3010	1.04%	0.02%	1942	53	0.0729%	0.0024%	2499	87	25	0.0033%	0.0009%	1988
3202	3.20%	0.01%	5216	77	0.0636%	0.0010%	2691	298	23	0.0036%	0.0003%	2180
3253	7.87%	0.03%	12884	115	0.0639%	0.0006%	2742	668	31	0.0033%	0.0002%	2231	95	33	0.000%	0.000%
3273	1.86%	0.01%	3045	41	0.0639%	0.0009%	2762	219	22	0.0046%	0.0005%	2251
3451	0.94%	0.01%	1436	41	0.0596%	0.0017%	2940	117	20	0.0049%	0.0008%	2429
